# The map name is '$mapname'
# The waypoints are from the optimal race line.
# id;s_m;d_m;x_m;y_m;d_right;d_left;psi_rad;kappa_radpm;vx_mps;ax_mps2
0;0.0;0.0;-4.882160008533515;-21.71655958369347;0.35009871074733606;2.6434478407838173;3.081070705813483;-0.7019396532346458;4.134668873240601;-0.0660882942019219
1;0.09997494170759647;0.0;-4.98161870198741;-21.70712618546329;0.370065013321419;2.568400933157692;3.0140416547553595;-0.6386111351573972;4.133070570970682;1.0250334571857755
2;0.19994988341519293;0.0;-5.080365895359778;-21.69135554078209;0.4084425913044893;2.474443039878896;2.9535240243233436;-0.573576764725459;4.157791200251029;2.0176183521449507
3;0.2999248251227894;0.0;-5.177919042444228;-21.66991432219582;0.4271134324951478;2.378793835583397;2.897307083095314;-0.5527963507127702;4.206025465825501;2.1522840201807028
4;0.39989976683038586;0.0;-5.274298653447185;-21.643068236553656;0.4556872463724187;2.2826738476570143;2.842828267073072;-0.5355940774797139;4.256876690495526;2.2244474189215415
5;0.4998747085379823;0.0;-5.368995728485541;-21.611153935420827;0.49829335303940386;2.1875800516402446;2.7907023964958833;-0.50766211041192;4.3088022883581845;2.5030861940260194
6;0.5998496502455788;0.0;-5.462003588583664;-21.574455335809162;0.5437025838555997;2.0946758752197834;2.7412562315973115;-0.485630077658604;4.366493897033913;2.667139318747736
7;0.6998245919531753;0.0;-5.5530307492763;-21.533290453767396;0.5912588003748227;2.0038083627105325;2.6924163155500063;-0.4919376730086947;4.427139386632196;2.282467877402756
8;0.7997995336607717;0.0;-5.642028624892015;-21.487647975497897;0.6470359578577024;1.914543016755007;2.6429868372573257;-0.4901857778759438;4.478386130589422;2.0913293847445615
9;0.8997744753683682;0.0;-5.7286287963400815;-21.437770967738274;0.7020386262074755;1.8283286691850167;2.5956495686794145;-0.45772875919529254;4.5248318644252565;2.54926459277929
10;0.9997494170759647;0.0;-5.812924477602282;-21.383936679336085;0.7589368119790812;1.7436779582838933;2.551305970289963;-0.4307649226497645;4.580810906317662;2.879782739732573
11;1.0997243587835612;0.0;-5.8947642550777894;-21.326556475411863;0.8208465102368259;1.662008587220333;2.509248026519684;-0.4106863926729543;4.643236024854805;3.062402931928737
12;1.1996993004911576;0.0;-5.974195245817819;-21.26585382033644;0.8752288958416171;1.5826862617720099;2.4691757850769633;-0.3924236632951637;4.708711914283879;3.2134820154315675
13;1.299674242198754;0.0;-6.051162947578613;-21.202092589134086;0.9284769487787714;1.5084758378004504;2.430549095920303;-0.38058146961177675;4.776452998414337;3.2290257698277123
