# The map name is '$mapname'
# The waypoints are from the optimal race line.
# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.0;-5.024962436856354;-22.778604316253958;2.9837222720526553;-0.23364972569625664;0.0;0.0
0.1;-5.123670944512135;-22.762890402810378;2.9603572994830296;-0.3547304073769708;0.0;0.0
0.2;-5.2215329592390765;-22.742583539187446;2.912776190577261;-0.48084690744520486;0.0;0.0
0.30000000000000004;-5.318298747987133;-22.717562504961297;2.8641879179939886;-0.486723687325159;0.0;0.0
0.4;-5.413733417838098;-22.687855120824988;2.8154314531122293;-0.48532613792414026;0.0;0.0
0.5;-5.507602934557472;-22.653532011028705;2.7671226904091606;-0.5220850265485422;0.0;0.0
0.6000000000000001;-5.599727916255872;-22.61475657824462;2.711014447802521;-0.6279724540194231;0.0;0.0
0.7000000000000001;-5.689134059622661;-22.570150947527793;2.641528199605276;-0.7333982002969464;0.0;0.0
0.8;-5.77498809328744;-22.518996839113235;2.5643348077431316;-0.7691375977093218;0.0;0.0
0.9;-5.856474412812163;-22.461169495719908;2.4877006800634116;-0.7747729472252485;0.0;0.0
1.0;-5.933510124382924;-22.397511286491206;2.409380218298082;-0.7994797930605535;0.0;0.0
1.1;-6.004983289752657;-22.32767341607033;2.327804721451301;-0.8004671567751309;0.0;0.0
1.2000000000000002;-6.070664505674698;-22.252339578775025;2.2492867869430557;-0.7825444225278178;0.0;0.0
1.3;-6.130337912423816;-22.17217894936661;2.1712958369457374;-0.7570239202573714;0.0;0.0
1.4000000000000001;-6.183511172552238;-22.08756873568825;2.0978820028915814;-0.7047195791757277;0.0;0.0
1.5;-6.230819167977402;-21.99953337434628;2.030351921110592;-0.6678752941260491;0.0;0.0
1.6;-6.272117090253706;-21.90852904729845;1.9643069440663716;-0.6422298797720505;0.0;0.0
1.7000000000000002;-6.307418255494868;-21.81503046320148;1.9019059451561817;-0.6021201909129092;0.0;0.0
1.8;-6.33706943910823;-21.71958508252596;1.8438829058837898;-0.5595112783171041;0.0;0.0
1.9000000000000001;-6.36130836255311;-21.62262350575625;1.790003689492761;-0.5067641374212195;0.0;0.0
2.0;-6.380523840185805;-21.52453625337537;1.7425300783995459;-0.44261802857744614;0.0;0.0
2.1;-6.3954623147777445;-21.42570514646261;1.7014800837772717;-0.3899823975601968;0.0;0.0
