# The map name is '$mapname'
# The waypoints are from the optimal race line.
# id;s_m;d_m;x_m;y_m;d_right;d_left;psi_rad;kappa_radpm;vx_mps;ax_mps2
0;0.0;0.0;-1.7370391197500075;-1.5236336481487882;1.5187093817619461;1.0606331856681996;-0.006937618230741682;0.30343424688652476;0.0;0.0
1;0.1;0.0;-1.6372254380100593;-1.5243261284767593;1.5695156800053636;1.0538444982611799;0.023405806457910794;0.5006742130963326;0.0;0.0
2;0.2;0.0;-1.5375232389557374;-1.5189629651102914;1.4871306376175408;1.0504352896356548;0.09319722438852485;0.7524601205764536;0.0;0.0
3;0.30000000000000004;0.0;-1.4385623054872334;-1.5057574840831989;1.4121012142514393;1.0486344893070725;0.17389783057320152;0.8363115629371076;0.0;0.0
4;0.4;0.0;-1.341036084823792;-1.4844456318272403;1.3464342122848936;1.0481047109295074;0.26045953697594637;0.8824007584466209;0.0;0.0
5;0.5;0.0;-1.2458841105155625;-1.4544061133006716;1.281553290427965;1.0398369611522917;0.3503779822625257;0.9370134676957953;0.0;0.0
6;0.6000000000000001;0.0;-1.1537663247260292;-1.4160066056935796;1.2285677334208738;1.031496764410692;0.44786223051510543;0.9927694270979981;0.0;0.0
7;0.7000000000000001;0.0;-1.0662432415643315;-1.3681028350267133;1.181810296415363;1.0222216850335148;0.5489318676821253;0.9553830758780424;0.0;0.0
8;0.8;0.0;-0.9837006426121404;-1.3119882214330334;1.146089863060837;1.0130401599484833;0.6389388456907139;0.7736858775745153;0.0;0.0
9;0.9;0.0;-0.9061423899214329;-1.2491645970450413;1.1162374997685571;1.0052936004378596;0.7036690431970284;0.5734649491949045;0.0;0.0
10;1.0;0.0;-0.831518795138039;-1.1828497650085918;1.09305662059754;1.002870155435155;0.7536318355296948;0.4171150913937133;0.0;0.0
11;1.1;0.0;-0.7605911051883077;-1.112578787636775;1.059923980527854;1.003333850185024;0.787092061475771;0.1755522143557009;0.0;0.0
12;1.2000000000000002;0.0;-0.6905537815126268;-1.041406379881702;1.0355749357892945;1.002530998681792;0.788742278400835;-0.009913647194094155;0.0;0.0
13;1.3;0.0;-0.6198520501860948;-0.970895275570075;1.0195257038612255;1.002664970979493;0.7851093320369522;-0.04982577047318859;0.0;0.0
14;1.4000000000000001;0.0;-0.549300117483319;-0.9002342892696147;0.9979377571005408;1.0042276371708088;0.7787771243061973;-0.08847967400987256;0.0;0.0
15;1.5;0.0;-0.47772081600061844;-0.8306338018649917;0.9815058356605569;1.0085284782818158;0.7674133972349777;-0.1307850226702134;0.0;0.0
16;1.6;0.0;-0.4055818917921817;-0.7615947495454991;0.9568948951077211;1.0222540945924035;0.7526201197721546;-0.1778025064266564;0.0;0.0
17;1.7000000000000002;0.0;-0.3319669763286063;-0.6941349674222193;0.9384125501937696;1.0454987583038484;0.7318528959496464;-0.15870982169355285;0.0;0.0
18;1.8;0.0;-0.2570238028610069;-0.6281509733897807;0.9283535827609372;1.0518360665415722;0.720878155433444;-0.0801380013797065;0.0;0.0
19;1.9000000000000001;0.0;-0.18194530984171875;-0.5623225148524017;0.9218097677160602;1.0583792701263826;0.7158252956737051;-0.08153037032658572;0.0;0.0
20;2.0;0.0;-0.10634011434766205;-0.49710005627084636;0.9214513492267719;1.0536390363175905;0.7045720813681269;-0.21146004594327028;0.0;0.0
21;2.1;0.0;-0.029801982201825852;-0.43298023929759477;0.9304256541773455;1.047536858310345;0.6735332864850511;-0.32242735421735835;0.0;0.0
22;2.2;0.0;0.04970058009722167;-0.37257624981667764;0.9452342191515698;1.055655597149728;0.6400866105246552;-0.19988899575126284;0.0;0.0
23;2.3000000000000003;0.0;0.13035599168106987;-0.3137140469775613;0.968303424017014;1.0679116437443223;0.6335554873347985;-0.021999798291722494;0.0;0.0
24;2.4000000000000004;0.0;0.21064242404266809;-0.25435247207639383;1.0014227209298485;1.0827152518831682;0.6356866508663107;0.028685612377775116;0.0;0.0
25;2.5;0.0;0.29104890724514043;-0.19514504241234543;1.0429118121387235;1.0977138153195551;0.6392926098103535;0.1330793053412771;0.0;0.0
26;2.6;0.0;0.37090471502623057;-0.1352062936575569;1.0889475460240465;1.1118055766211679;0.6623025119345661;0.2758009345195833;0.0;0.0
27;2.7;0.0;0.4484954158780071;-0.07236810880495025;1.121850545210933;1.122241807696996;0.6944527967142702;0.42722480043187017;0.0;0.0
28;2.8000000000000003;0.0;0.5243362486673008;-0.007420883940684006;1.0964866024065048;1.1299471232808527;0.7477474720209402;0.621703875639763;0.0;0.0
29;2.9000000000000004;0.0;0.5947967291578007;0.06331141159631112;1.0692749313215688;1.1297548490397447;0.8187935718422228;0.640616720169912;0.0;0.0
30;3.0;0.0;0.6606567533269866;0.13832277189364423;1.055740307454923;1.105476009460426;0.8758708160549226;0.5409437269410866;0.0;0.0
31;3.1;0.0;0.7226045312908091;0.21662239798476246;1.0428671336765383;1.0807013737873261;0.9269823172304401;0.5247664258210427;0.0;0.0
32;3.2;0.0;0.7804830068451066;0.297987004105424;1.04059466110272;1.059703308552207;0.9808241012191311;0.506621341902801;0.0;0.0
33;3.3000000000000003;0.0;0.8336461896028232;0.3824761705741313;1.0395840322957581;1.0375527811473162;1.0283065856110003;0.42954966010588513;0.0;0.0
34;3.4000000000000004;0.0;0.8835464871528156;0.4689561915591085;1.0414058620725073;1.0161435666607863;1.0667340332403081;0.38544054156776975;0.0;0.0
35;3.5;0.0;0.9300718241706152;0.5572904767521222;1.052729569140729;1.0004149054779903;1.1053946939245543;0.34902847157526673;0.0;0.0
36;3.6;0.0;0.973146013959001;0.6473721928099135;1.0610033341384364;0.9892627064558357;1.1365397275553615;0.3194341343902285;0.0;0.0
37;3.7;0.0;1.014081964072386;0.7384315136216384;1.0750925755094598;0.9682084670435107;1.1692815208026;0.3652315322386912;0.0;0.0
38;3.8000000000000003;0.0;1.0511707223650775;0.831141371588176;1.0923547169557724;0.9529830447174972;1.2095860340030997;0.4695115652925008;0.0;0.0
39;3.9000000000000004;0.0;1.0846243660514856;0.9251577088321801;1.1153202098879538;0.9442252546225184;1.2631838338611001;0.5208889456283661;0.0;0.0
40;4.0;0.0;1.1115837531617137;1.0213006313714372;1.1348863106342126;0.9325407212034469;1.313763823128773;0.44380301739098127;0.0;0.0
41;4.1000000000000005;0.0;1.1353818692851099;1.118264695047488;1.1652351269571526;0.9250202176693595;1.3519444373392964;0.27524380829162975;0.0;0.0
42;4.2;0.0;1.1549276301135465;1.2161797147199729;1.2010799471657772;0.9219303619631836;1.3688125847870989;-0.029354534672477728;0.0;0.0
43;4.3;0.0;1.1754431715829199;1.313899328526848;1.2274707619079142;0.9224752807292155;1.3460735304048008;-0.28229810852134496;0.0;0.0
44;4.4;0.0;1.199419189600229;1.4108198683171362;1.257915735126311;0.9372490614010691;1.31235296308283;-0.3965394328381955;0.0;0.0
45;4.5;0.0;1.2264687262195744;1.5069180749347637;1.2924315572885574;0.9644326012069586;1.2667656438371617;-0.43716722415347187;0.0;0.0
46;4.6000000000000005;0.0;1.2591680834967816;1.6012496362403936;1.3154793695153923;0.9973496150210329;1.2249195182521355;-0.29724935867378455;0.0;0.0
47;4.7;0.0;1.2941565905140668;1.6947505740374686;1.3335125460919361;1.008481560735607;1.2073157721024048;-0.20107507269108482;0.0;0.0
48;4.800000000000001;0.0;1.3301603496724737;1.7878838921364377;1.338566591970387;1.0267706878069016;1.1847045037139186;-0.19637271501129816;0.0;0.0
49;4.9;0.0;1.3693414108543795;1.8797099513900286;1.3064670739527475;1.0574724055023588;1.1680412291001452;-0.06881187233105601;0.0;0.0
50;5.0;0.0;1.4084291973714274;1.9715943493243946;1.2814635810981188;1.0963452180807571;1.1709421292477074;-0.013870159922190206;0.0;0.0
51;5.1000000000000005;0.0;1.447077125968598;2.0636469733184706;1.2643446141979315;1.134689469011854;1.1652671971157071;-0.09418121983681194;0.0;0.0
52;5.2;0.0;1.4871988619119216;2.1550671810893673;1.2337787434908603;1.1745635369527767;1.152105885280345;-0.06170964492568265;0.0;0.0
53;5.300000000000001;0.0;1.528260523624627;2.246080450030322;1.2070938921429892;1.2154455888602116;1.1529252681305706;0.050780810092440065;0.0;0.0
54;5.4;0.0;1.5682380393508506;2.3375790304065154;1.1894008648736347;1.2553210870201585;1.162262047298833;0.029739788594639327;0.0;0.0
55;5.5;0.0;1.6075945199097614;2.4293465203465647;1.1805969131752139;1.2946359134113476;1.1588732258494985;-0.05578080506680627;0.0;0.0
56;5.6000000000000005;0.0;1.648190704751196;2.520570782541569;1.1788522557676815;1.3222297498083235;1.1511058862854717;-0.06744157954149954;0.0;0.0
57;5.7;0.0;1.6889683158294955;2.6117166642000176;1.185348408117509;1.318177521179771;1.1453849099411986;0.02358634283373129;0.0;0.0
58;5.800000000000001;0.0;1.730605326368722;2.702469819682332;1.1979831459604453;1.3015114017013725;1.155823154852218;0.10981489344055406;0.0;0.0
59;5.9;0.0;1.7694699692022702;2.7944437814767453;1.1971426687313234;1.2893023528342769;1.1673478886293094;0.03524761191676218;0.0;0.0
60;6.0;0.0;1.809005137275832;2.8861344184174795;1.1956220588331705;1.281576395405132;1.1628726772355704;-0.07531501137573504;0.0;0.0
61;6.1000000000000005;0.0;1.848686675947871;2.977745842447611;1.1980040944785186;1.263969000740662;1.1522848863541624;-0.08141980079136135;0.0;0.0
62;6.2;0.0;1.8901539323610503;3.068578050171225;1.206728565710613;1.2560312029113254;1.1465887170772981;-0.036144580141574956;0.0;0.0
63;6.300000000000001;0.0;1.9308835033906908;3.159746697710665;1.2243590118341805;1.2432808380345608;1.1450559703258474;-0.10502978972921961;0.0;0.0
64;6.4;0.0;1.972625681592535;3.250444010216707;1.235814350379027;1.2309632819667635;1.1255827591314542;-0.24725357188479125;0.0;0.0
65;6.5;0.0;2.0168738369600665;3.339957472201891;1.2429246896739754;1.2200526050420744;1.0956052559488891;-0.3375644413586798;0.0;0.0
66;6.6000000000000005;0.0;2.0639794275656573;3.427997569287519;1.2443997475840591;1.213074321388286;1.0580698708597183;-0.3682409781591234;0.0;0.0
67;6.7;0.0;2.114809143014233;3.5139274531947007;1.2302747124929647;1.2097262423741817;1.0219570603170645;-0.3419829539161262;0.0;0.0
68;6.800000000000001;0.0;2.1681462468069514;3.598341372217029;1.2137859310426677;1.2107053893848447;0.989673280076493;-0.38907154333339855;0.0;0.0
69;6.9;0.0;2.2244039577771915;3.680795646990076;1.2018620794181372;1.2100425742708545;0.9441427516503847;-0.5015083174081142;0.0;0.0
70;7.0;0.0;2.285173795846364;3.7599812374034647;1.1925934421770024;1.2052828265473856;0.8893716165948702;-0.4965277139951185;0.0;0.0
71;7.1000000000000005;0.0;2.3501283789867813;3.8358156814149384;1.1862819350522569;1.214111117605535;0.844837208851361;-0.4755125259528509;0.0;0.0
72;7.2;0.0;2.4177168519830583;3.9092975003181913;1.1848277266545468;1.2211372080544474;0.7942691114043;-0.5543426898365761;0.0;0.0
73;7.300000000000001;0.0;2.489987301235663;3.978178241433296;1.1824321004830598;1.2327940730078688;0.7339686708840458;-0.6124646876970241;0.0;0.0
74;7.4;0.0;2.5659298808107995;4.042999010908299;1.177351874804702;1.2576143355434757;0.6717761738648952;-0.7002656921794154;0.0;0.0
75;7.5;0.0;2.6461593712484324;4.102358349009278;1.173784485433594;1.2951520727372243;0.5939155324481628;-0.8102366167741643;0.0;0.0
76;7.6000000000000005;0.0;2.7311938324697786;4.154592083796125;1.1701026512782375;1.3347309528966596;0.5097288505100623;-0.7837453270014955;0.0;0.0
77;7.7;0.0;2.8202571334918543;4.199679482493654;1.166724476772345;1.3817815542720677;0.43716646704786366;-0.5874562356283075;0.0;0.0
78;7.800000000000001;0.0;2.9119883940668654;4.239081647089873;1.1656041259427103;1.4334438398692972;0.39223760338440083;-0.320383568056436;0.0;0.0
79;7.9;0.0;3.004762601998706;4.276004415046662;1.1703370158640976;1.4836814155891769;0.37308975343657647;-0.08359568760728853;0.0;0.0
80;8.0;0.0;3.0979518974435636;4.311871854838637;1.1797147544629099;1.5318697956118907;0.37551846586294313;0.10300029743707473;0.0;0.0
81;8.1;0.0;3.1905448287652534;4.3492445055690405;1.1938778419304437;1.5835347060291745;0.3936898129239914;0.2517241903950962;0.0;0.0
82;8.200000000000001;0.0;3.282364366214843;4.388472138524185;1.2180349429903625;1.6380125439793423;0.42586330394196237;0.4616048474509582;0.0;0.0
83;8.3;0.0;3.3723355746562897;4.431709095443274;1.2538108563548713;1.68709152713974;0.48601078241418305;0.7324680256131272;0.0;0.0
84;8.4;0.0;3.4587674504591153;4.481661449276156;1.3029266294183302;1.7251960708276282;0.5723569090645878;0.8479782745563125;0.0;0.0
85;8.5;0.0;3.539959349147278;4.539708894230028;1.3652405534964969;1.7531353097996671;0.6556064373254455;0.7344896372101656;0.0;0.0
86;8.6;0.0;3.6169218113497914;4.603296199367117;1.4367315023823133;1.7753730363563358;0.7192548365066209;0.5978343305076628;0.0;0.0
87;8.700000000000001;0.0;3.6901034532778065;4.671197650719022;1.5150252362399912;1.7949636203715846;0.7751733034269781;0.5267404084649369;0.0;0.0
88;8.8;0.0;3.759494209586278;4.7429824419447515;1.5987298452579166;1.8012085061153853;0.8246029181996083;0.5073353305825512;0.0;0.0
89;8.9;0.0;3.8256091185627463;4.81776769428298;1.6863315930090177;1.8085273206207406;0.8766403695434883;0.5019923107837365;0.0;0.0
90;9.0;0.0;3.887169654439752;4.896374511349514;1.7555602509582653;1.8154004977730676;0.9250013803563556;0.4083566598977528;0.0;0.0
91;9.1;0.0;3.945768593853625;4.9772170324782685;1.7405730603392517;1.8180890484401915;0.9583117015230389;0.34051074992160757;0.0;0.0
92;9.200000000000001;0.0;4.001953415952944;5.059739014652092;1.734161637511869;1.8189305033110745;0.9931035303406771;0.32588917621332425;0.0;0.0
93;9.3;0.0;4.054792915528617;5.144464093590561;1.737488255245904;1.8141263744462495;1.0234895367657038;0.2658967433459297;0.0;0.0
94;9.4;0.0;4.10587021900022;5.2302605535830695;1.7326325468116146;1.8018041340968796;1.046282879009863;0.16135380795603504;0.0;0.0
